"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"234" 0.25 0.288 0.316 0.282 0.314 0.212 0.322 0.252 0.292 0.184
"235" 0.176 0.172 0.174 0.16 0.24 0.154 0.154 0.15 0.16 0.202
"236" 0.178 0.174 0.23 0.19 0.246 0.188 0.178 0.21 0.208 0.278
"237" 0.178 0.174 0.23 0.19 0.246 0.188 0.178 0.21 0.208 0.278
"238" 0.928 0.974 0.944 0.934 0.952 0.916 0.918 0.964 0.97 0.96
"239" 0.132 0.318 0.324 0.282 0.244 0.25 0.136 0.18 0.326 0.314
"240" 0.56 0.79 0.648 0.786 0.754 0.648 0.716 0.654 0.772 0.806
"241" 0.068 0.044 0.082 0.096 0.064 0.086 0.098 0.088 0.074 0.122
"242" 0.936 0.83 0.898 0.844 0.814 0.782 0.888 0.866 0.848 0.82
"243" 0.216 0.162 0.196 0.246 0.194 0.136 0.214 0.174 0.18 0.22
"244" 0.056 0.038 0.068 0.076 0.03 0.09 0.088 0.05 0.078 0.05
"245" 0.936 0.83 0.898 0.844 0.814 0.782 0.888 0.866 0.848 0.82
"246" 0.478 0.364 0.428 0.33 0.308 0.316 0.43 0.254 0.392 0.378
"247" 0.094 0.072 0.088 0.082 0.066 0.08 0.048 0.048 0.086 0.072
"248" 0.732 0.71 0.576 0.816 0.75 0.682 0.806 0.734 0.808 0.746
"249" 0.948 0.978 0.98 0.972 0.984 0.97 0.976 0.964 0.986 0.98
"250" 0.506 0.632 0.554 0.548 0.488 0.604 0.49 0.602 0.706 0.542
"251" 0.07 0.07 0.106 0.056 0.098 0.084 0.09 0.06 0.094 0.076
"252" 0.092 0.156 0.006 0.128 0.142 0.152 0.138 0.1 0.11 0.064
"253" 0.052 0.04 0.056 0.06 0.064 0.062 0.104 0.058 0.028 0.048
"254" 0.156 0.112 0.162 0.204 0.156 0.202 0.192 0.14 0.144 0.18
"255" 0.092 0.156 0.006 0.128 0.142 0.152 0.138 0.1 0.11 0.064
"256" 0.284 0.26 0.29 0.266 0.246 0.242 0.27 0.248 0.238 0.264
