"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"182" 0.504 0.16 0.29 0.286 0.472 0.306 0.578 0.318 0.33 0.242
"183" 0.254 0.336 0.304 0.328 0.372 0.41 0.198 0.288 0.404 0.4
"184" 0.434 0.43 0.402 0.34 0.43 0.49 0.384 0.394 0.418 0.118
"185" 0.406 0.378 0.376 0.08 0.36 0.4 0.386 0.15 0.358 0.362
"186" 0.454 0.11 0.446 0.438 0.152 0.146 0.192 0.462 0.468 0.512
"187" 0.29 0.302 0.338 0.28 0.222 0.378 0.302 0.364 0.35 0.284
"188" 0.614 0.622 0.574 0.61 0.55 0.556 0.584 0.524 0.514 0.544
"189" 0.182 0.272 0.25 0.216 0.278 0.216 0.286 0.226 0.24 0.206
"190" 0.124 0.098 0.06 0.076 0.048 0.102 0.088 0.112 0.152 0.046
"191" 0.19 0.146 0.186 0.174 0.178 0.282 0.304 0.154 0.104 0.228
"192" 0.326 0.246 0.282 0.332 0.358 0.324 0.29 0.416 0.21 0.464
"193" 0.096 0.116 0.198 0.254 0.14 0.132 0.178 0.126 0.332 0.12
"194" 0.392 0.444 0.354 0.66 0.444 0.386 0.582 0.354 0.718 0.404
"195" 0.072 0.154 0.104 0.068 0.07 0.068 0.028 0.038 0.064 0.172
"196" 0.456 0.224 0.3 0.202 0.26 0.194 0.244 0.118 0.152 0.226
"197" 0.066 0.076 0.076 0.088 0.092 0.1 0.058 0.092 0.062 0.078
"198" 0.264 0.242 0.428 0.212 0.17 0.226 0.35 0.22 0.096 0.18
"199" 0.278 0.222 0.138 0.324 0.624 0.228 0.156 0.448 0.262 0.284
"200" 0.134 0.132 0.166 0.186 0.182 0.15 0.192 0.144 0.208 0.028
"201" 0.334 0.186 0.162 0.182 0.252 0.178 0.314 0.264 0.338 0.308
"202" 0.002 0.022 0.014 0.006 0.004 0.002 0.024 0.026 0.028 0.014
"203" 0.852 0.764 0.674 0.618 0.788 0.778 0.732 0.746 0.816 0.762
"204" 0.23 0.122 0.128 0.124 0.222 0.272 0.176 0.16 0.108 0.088
"205" 0.226 0.128 0.12 0.284 0.19 0.324 0.25 0.232 0.122 0.126
"206" 0.594 0.792 0.604 0.74 0.672 0.482 0.71 0.69 0.518 0.586
"207" 0.238 0.136 0.104 0.11 0.072 0.098 0.09 0.092 0.268 0.078
"208" 0.146 0.084 0.042 0.09 0.092 0.168 0.086 0.086 0.078 0.052
"209" 0.166 0.322 0.542 0.4 0.31 0.318 0.456 0.402 0.31 0.146
"210" 0.166 0.038 0.124 0.082 0.114 0.044 0.166 0.08 0.044 0.066
"211" 0.078 0.13 0.074 0.098 0.046 0.094 0.068 0.05 0.042 0.066
"212" 0.18 0.218 0.258 0.194 0.208 0.234 0.256 0.234 0.222 0.202
"213" 0.292 0.258 0.274 0.43 0.342 0.332 0.276 0.316 0.298 0.542
"214" 0.382 0.422 0.396 0.538 0.484 0.322 0.348 0.346 0.396 0.428
"215" 0.274 0.234 0.43 0.276 0.302 0.334 0.224 0.232 0.272 0.294
"216" 0.344 0.264 0.32 0.342 0.11 0.09 0.368 0.2 0.258 0.154
"217" 0.036 0.06 0.108 0.042 0.046 0.048 0.066 0.072 0.032 0.072
"218" 0.252 0.302 0.228 0.34 0.332 0.29 0.134 0.318 0.244 0.3
"219" 0.056 0.134 0.068 0.068 0.042 0.09 0.042 0.054 0.05 0.068
"220" 0.224 0.316 0.242 0.246 0.418 0.218 0.216 0.276 0.588 0.282
"221" 0.082 0.264 0.268 0.328 0.294 0.228 0.268 0.222 0.26 0.228
"222" 0.04 0.018 0.05 0.042 0.026 0.04 0.072 0.004 0.01 0.04
"223" 0.15 0.152 0.318 0.286 0.34 0.144 0.146 0.228 0.23 0.192
"224" 0.014 0.006 0.058 0.02 0.036 0.032 0.02 0.032 0.026 0.006
"225" 0.234 0.296 0.41 0.254 0.396 0.47 0.222 0.276 0.284 0.27
"226" 0.272 0.226 0.21 0.268 0.282 0.06 0.254 0.242 0.126 0.172
"227" 0.136 0.104 0.084 0.222 0.072 0.09 0.144 0.158 0.134 0.074
"228" 0.08 0.022 0.232 0.094 0.082 0.082 0.036 0.126 0.174 0.07
"229" 0.372 0.418 0.332 0.694 0.378 0.374 0.404 0.316 0.322 0.19
"230" 0.456 0.232 0.266 0.484 0.312 0.232 0.242 0.326 0.37 0.284
"231" 0.298 0.202 0.196 0.268 0.108 0.144 0.332 0.222 0.218 0.194
"232" 0.232 0.112 0.186 0.202 0.24 0.282 0.244 0.184 0.234 0.176
"233" 0.306 0.31 0.2 0.294 0.124 0.356 0.258 0.294 0.386 0.202
"234" 0.196 0.144 0.114 0.038 0.168 0.212 0.152 0.032 0.13 0.154
"235" 0.618 0.732 0.686 0.734 0.714 0.72 0.636 0.818 0.614 0.82
"236" 0.316 0.564 0.222 0.426 0.522 0.452 0.43 0.586 0.55 0.552
"237" 0.296 0.512 0.3 0.496 0.476 0.384 0.478 0.484 0.432 0.472
"238" 0.508 0.57 0.356 0.438 0.438 0.394 0.462 0.482 0.558 0.494
"239" 0.34 0.412 0.372 0.396 0.412 0.414 0.384 0.37 0.41 0.416
"240" 0.54 0.62 0.432 0.388 0.556 0.624 0.412 0.536 0.632 0.4
"241" 0.414 0.44 0.272 0.45 0.418 0.502 0.49 0.38 0.396 0.49
"242" 0.31 0.3 0.372 0.32 0.346 0.348 0.302 0.408 0.372 0.31
"243" 0.246 0.276 0.356 0.218 0.254 0.682 0.304 0.22 0.324 0.146
"244" 0.432 0.392 0.46 0.458 0.406 0.336 0.556 0.486 0.578 0.422
"245" 0.51 0.542 0.546 0.448 0.516 0.312 0.56 0.474 0.498 0.626
"246" 0.248 0.286 0.222 0.304 0.22 0.224 0.366 0.262 0.26 0.318
"247" 0.74 0.562 0.788 0.778 0.508 0.522 0.574 0.716 0.762 0.746
"248" 0.168 0.098 0.094 0.138 0.158 0.064 0.086 0.16 0.148 0.118
"249" 0.098 0.428 0.136 0.094 0.106 0.146 0.5 0.148 0.124 0.246
"250" 0.038 0.032 0.026 0.062 0.02 0.07 0.038 0.214 0.062 0.024
"251" 0.484 0.588 0.562 0.524 0.55 0.31 0.554 0.366 0.48 0.308
"252" 0.218 0.338 0.26 0.242 0.314 0.354 0.164 0.23 0.344 0.336
"253" 0.232 0.3 0.396 0.348 0.49 0.324 0.192 0.346 0.222 0.342
"254" 0.246 0.224 0.224 0.316 0.524 0.34 0.262 0.234 0.318 0.264
"255" 0.372 0.156 0.224 0.36 0.176 0.184 0.36 0.19 0.226 0.396
"256" 0.352 0.47 0.358 0.31 0.262 0.284 0.4 0.208 0.378 0.206
"257" 0.46 0.236 0.192 0.232 0.168 0.176 0.15 0.174 0.238 0.63
"258" 0.08 0.146 0.078 0.158 0.13 0.082 0.108 0.056 0.05 0.254
"259" 0.278 0.366 0.228 0.36 0.434 0.232 0.454 0.518 0.286 0.282
"260" 0.074 0.082 0.212 0.112 0.052 0.158 0.066 0.068 0.142 0.106
"261" 0.616 0.44 0.582 0.596 0.67 0.654 0.682 0.652 0.738 0.578
"262" 0.702 0.51 0.726 0.574 0.746 0.69 0.764 0.712 0.744 0.754
"263" 0.318 0.358 0.23 0.172 0.374 0.368 0.322 0.374 0.55 0.316
"264" 0.218 0.12 0.182 0.148 0.168 0.232 0.312 0.168 0.158 0.184
"265" 0.08 0.118 0.196 0.208 0.218 0.074 0.136 0.206 0.27 0.214
"266" 0.272 0.356 0.216 0.18 0.282 0.3 0.096 0.256 0.398 0.33
"267" 0.08 0.04 0.07 0.064 0.054 0.078 0.086 0.026 0.044 0.066
"268" 0.118 0.166 0.334 0.15 0.164 0.248 0.216 0.168 0.126 0.114
"269" 0.396 0.364 0.288 0.162 0.198 0.362 0.294 0.36 0.382 0.346
"270" 0.39 0.31 0.4 0.298 0.296 0.252 0.38 0.35 0.402 0.242
"271" 0.16 0.142 0.198 0.19 0.216 0.132 0.208 0.206 0.138 0.144
"272" 0.14 0.098 0.082 0.068 0.06 0.066 0.104 0.254 0.076 0.046
"273" 0.174 0.056 0.076 0.072 0.126 0.07 0.044 0.04 0.12 0.21
"274" 0.308 0.152 0.322 0.19 0.056 0.06 0.134 0.154 0.026 0.256
"275" 0.444 0.228 0.294 0.092 0.324 0.088 0.372 0.306 0.292 0.374
"276" 0.032 0.026 0 0.03 0.03 0.016 0.016 0.026 0.022 0.03
"277" 0.244 0.528 0.374 0.224 0.222 0.26 0.184 0.18 0.164 0.12
"278" 0.214 0.12 0.118 0.138 0.212 0.174 0.116 0.188 0.102 0.134
"279" 0.214 0.532 0.276 0.258 0.372 0.398 0.262 0.48 0.458 0.244
"280" 0.436 0.424 0.366 0.298 0.554 0.438 0.398 0.206 0.28 0.388
"281" 0.304 0.59 0.532 0.524 0.464 0.438 0.448 0.394 0.412 0.358
"282" 0.388 0.238 0.174 0.304 0.408 0.37 0.158 0.36 0.406 0.4
"283" 0.582 0.424 0.476 0.412 0.516 0.392 0.61 0.644 0.566 0.428
"284" 0.368 0.284 0.446 0.258 0.314 0.35 0.082 0.232 0.292 0.072
"285" 0.3 0.24 0.202 0.348 0.178 0.31 0.466 0.254 0.51 0.244
"286" 0.638 0.586 0.47 0.348 0.69 0.61 0.646 0.672 0.516 0.634
"287" 0.242 0.296 0.266 0.454 0.266 0.62 0.26 0.302 0.24 0.322
"288" 0.166 0.098 0.06 0.1 0.26 0.324 0.046 0.06 0.162 0.228
"289" 0.028 0.032 0.034 0.042 0.03 0.036 0.042 0.034 0.068 0.046
"290" 0.314 0.284 0.198 0.312 0.38 0.614 0.27 0.31 0.354 0.35
"291" 0.1 0.098 0.194 0.074 0.096 0.066 0.07 0.088 0.108 0.094
"292" 0.148 0.1 0.172 0.174 0.262 0.178 0.196 0.122 0.144 0.112
"293" 0.678 0.616 0.44 0.77 0.65 0.578 0.612 0.766 0.456 0.604
"294" 0.178 0.25 0.144 0.244 0.308 0.206 0.164 0.368 0.274 0.166
"295" 0.32 0.682 0.412 0.344 0.43 0.602 0.478 0.726 0.284 0.492
"296" 0.044 0.088 0.038 0.178 0.1 0.062 0.03 0.05 0.042 0.052
"297" 0.062 0.156 0.022 0.046 0.086 0.062 0.144 0.056 0.066 0.058
"298" 0.322 0.194 0.286 0.168 0.324 0.292 0.274 0.254 0.202 0.25
"299" 0.298 0.378 0.258 0.308 0.298 0.27 0.256 0.05 0.28 0.31
"300" 0.176 0.222 0.138 0.23 0.116 0.106 0.176 0.078 0.176 0.132
"301" 0.338 0.4 0.424 0.382 0.392 0.484 0.448 0.664 0.36 0.494
"302" 0.126 0.098 0.128 0.176 0.19 0.086 0.114 0.082 0.198 0.192
"303" 0.584 0.618 0.562 0.664 0.658 0.69 0.694 0.668 0.512 0.526
"304" 0.508 0.512 0.438 0.494 0.32 0.502 0.414 0.502 0.488 0.228
"305" 0.322 0.368 0.398 0.388 0.324 0.29 0.324 0.196 0.426 0.384
"306" 0.466 0.538 0.534 0.48 0.534 0.45 0.542 0.234 0.24 0.44
"307" 0.26 0.38 0.45 0.244 0.346 0.184 0.406 0.484 0.364 0.36
"308" 0.388 0.424 0.664 0.214 0.694 0.618 0.664 0.404 0.574 0.486
"309" 0.47 0.204 0.214 0.318 0.16 0.268 0.404 0.316 0.194 0.278
"310" 0.508 0.578 0.552 0.484 0.324 0.476 0.574 0.514 0.306 0.396
"311" 0.414 0.414 0.366 0.444 0.23 0.382 0.508 0.384 0.26 0.392
"312" 0.572 0.538 0.464 0.448 0.418 0.384 0.45 0.488 0.39 0.36
"313" 0.506 0.586 0.622 0.786 0.556 0.586 0.522 0.464 0.516 0.356
